20240616	16:29:10	ed1e4ea4-caec-4ea0-b9fa-1b44081732cb	GET 	undefined 	 /
20240616	16:29:18	fa9d72d7-89d6-4afa-acc5-822b4bbe57b6	GET 	undefined 	 /
20240616	16:31:14	f553a082-942b-4eb5-bc25-7dfaf2c67825	GET 	undefined 	 /
20240616	16:31:15	ffc19f4d-d773-4213-bec5-8528d31e6997	GET 	undefined 	 /
20240616	16:31:16	7087fb83-05fa-4c5d-accc-ebfbf5497f2f	GET 	undefined 	 /
20240616	16:31:27	4abc4061-015e-40a3-8cec-b536939ba04b	GET 	undefined 	 /
20240616	16:31:28	7df654b1-4ba7-454e-aa44-5ed088e3529d	GET 	undefined 	 /
20240616	16:31:28	2f40a601-13d7-4b91-a2e0-b9c4502ba06a	GET 	undefined 	 /
20240616	16:31:33	a8ddeff7-2c46-4f3d-a125-d6c510cd025e	GET 	undefined 	 /
20240616	16:31:34	df9a9de8-1227-45be-8966-ee6792b4a956	GET 	undefined 	 /
20240616	16:31:34	e78b793c-535f-427f-9004-fa3f9661fd68	GET 	undefined 	 /
20240616	16:31:34	9575e992-c3df-4c01-a123-ca98eb184294	GET 	undefined 	 /
20240616	16:31:34	75bbe092-0c6c-4b61-bdad-62d682e16f17	GET 	undefined 	 /
20240616	16:31:35	24eb98c5-f6a2-4e7d-8beb-2f6c46cd174e	GET 	undefined 	 /
20240616	16:32:37	4a04230d-32cd-45f2-937a-62370b631e36	GET 	undefined 	 /index
20240616	16:32:37	664ab555-5ebe-48b3-9a94-33c2bdc86203	GET 	undefined 	 /css/styles.css
20240616	16:32:37	6a81b53f-93db-4185-8c7d-90593df86672	GET 	undefined 	 /img/fast-delivery.png
20240616	16:32:37	6e87cb27-cdc7-46f3-b339-9de803b0f687	GET 	undefined 	 /img/secure-payment.png
20240616	16:32:37	09d04fb7-83b1-40b2-9094-a0d89e87c5b8	GET 	undefined 	 /img/customer-support.png
20240616	16:32:37	e86c1abc-8caf-4a9f-bb1e-e782d4396c04	GET 	undefined 	 /img/image2.png
20240616	16:34:08	0b5a7e9c-4891-4eae-b34f-39cbf23a1f04	GET 	undefined 	 /index
20240616	16:34:08	24edb034-de38-40d8-8537-b2963dc3981a	GET 	undefined 	 /css/styles.css
20240616	16:34:08	475c1774-0af0-432e-b50b-a502e60c2ec9	GET 	undefined 	 /img/fast-delivery.png
20240616	16:34:08	d2a3aba8-1759-4e4e-993e-cd3c2bfbfd57	GET 	undefined 	 /img/secure-payment.png
20240616	16:34:08	1e5ca784-32aa-42c9-96e9-6f50c28f98c4	GET 	undefined 	 /img/customer-support.png
20240616	16:34:08	5329e9e8-c8a8-42fc-a366-23dca36ac320	GET 	undefined 	 /img/image2.png
20240616	16:35:22	ed356c70-8373-4c98-9169-97513df028fb	GET 	undefined 	 /index
20240616	16:35:22	2ed490a0-1cde-4549-920d-ed2d10dd7cd8	GET 	undefined 	 /img/secure-payment.png
20240616	16:35:22	85fb1c5e-f1ed-4e8b-a594-93d538fbde7b	GET 	undefined 	 /img/customer-support.png
20240616	16:35:22	9ab551ac-894b-4db0-aad7-255e849e0e01	GET 	undefined 	 /css/styles.css
20240616	16:35:22	c9da2099-f69c-4b14-aa83-4b0c4efec64c	GET 	undefined 	 /img/image2.png
20240616	16:35:22	26a9e371-9758-483c-ad9f-55507ea57a7d	GET 	undefined 	 /img/fast-delivery.png
20240616	16:44:35	eb8f469c-235a-4d77-a608-38f5defd6272	OPTIONS 	https://www.google.com 	 /
20240616	16:44:35	c986195f-178b-42da-ad31-a33465d67fb7	GET 	https://www.google.com 	 /
